key,value
btn_next,next
btn_ok,OK
start_btn,森へ
option_btn,option
quit_btn,quit
option_1,同じチームはお互いを認識できます。
option_2,ランダムでヒントを提供します。
option_3,音量
toast_network,ネットワークエラー！
fade_woods,森に<br><br>入ります。
fade_end,ゲームが<br><br>終わりました。
fade_sleep,静かな夜が<br><br>過ぎます。
day_1,
day_2,日目
ui_go_home_info,現在のゲームを<color=red>>終了</color>し、<color=yellow>メイン</color>に戻ります。
ui_go_home_end,exit
ui_go_home_continue,end
set1_info,参加人数を設定してください。
set2_info,参加者の名前を<br>順番に入力してください。
set2_inputfield_placeholder_1,
set2_inputfield_placeholder_2,号
set3_info,始める前に、動物の数を<br>設定してください。
set3_info_wolf,<size=50>オオカミ</size><br>夜に誰かを<br>攻撃します。
set3_info_cat,<size=50>猫</size><br><br>夜に誰かを<br>監視します。
set3_info_swan,<size=50>白鳥</size><br><br>夜に誰かを<br>守ります。
set4_info,あなたの役割を確認してください。<br><size=35>確認後、ボタンを押して次の人に渡してください。</size>
set4_touch_info,タッチして確認
set4_role_info_team,チーム
set4_role_info_mission,ミッション
set4_role_info_wolf,夜に誰かを攻撃します。
set4_role_info_cat,夜に誰かを監視します。
set4_role_info_swan,夜に誰かを守ります。
set4_role_info_others,みんなを疑おう！
step1_whodied_1,昨夜、
step1_whodied_2,がオオカミから攻撃されました。
step1_whodied_null,昨夜は<br>平安でした。
step2_info,昨夜の選択結果を確認してください！
step2_touch_info,タッチして確認
step2_wolf,今日のミッション
step2_cat_wolf_true,は<br><br><color=red>オオカミ</color>です！
step2_cat_wolf_false,は<br><br>オオカミでは<br>ありません！
step2_other_hint_1_1,昨夜、オオカミは
step2_other_hint_1_2,に<br>攻撃を試みました！
step2_other_hint_2,オオカミの以前のミッションです。
step2_other_hint_3_1,昨夜、白鳥は
step2_other_hint_3_2,を<br>守りました。
step2_other_hint_4_1,残りの猫は
step2_other_hint_4_2,匹です。
step2_other,みんなを疑おう！
step3_info,会話でオオカミを<br>見つけてください！<br><br><color=yellow><size=40>オオカミにはミッション単語/行為があります。</size></color>
step4_info,みんなの意見でオオカミを<br>選んで<color=red>処刑</color>してください。
step4_btn_pass,パス
step4_btn_select_1,選択
step4_vote_info,<color=red>処刑</colorする対象を選択してください。
step4_btn_back,戻る
step4_btn_select_2,処刑
step5_before_1,投票の結果、
step5_before_2,は<color=red>処刑</color>されました。
step5_before_null,<color=yellow>誰も</color>処刑されませんでした。
step5_btn_result,結果
step5_result_1,調査の結果、<br>処刑された
step5_result_2,は
step5_wolf,<color=red>オオカミ</color>でした！
step5_notwolf,オオカミでは<br>ありませんでした！
step6_info,今日一日を終えます。
step6_btn_yes,はい
step6_other,誰でも選んでください！
step6_wolf,誰を攻撃しましょうか?
step6_cat,誰を監視しましょうか?
step6_swan,誰を守りましょうか？
end_result_win,Win!
end_result_lose,<color=red>オオカミ Win!</color>
end_total,合計
end_alive,生存
end_wolf,オオカミ
end_count_animal,匹
end,終わり
title,夜の森には
no_swan,残念ながら、<br>白鳥はいません。
